CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,naive_bayes_level_months_inactive_12_mon_1,naive_bayes_level_months_inactive_12_mon_2
713289183,Existing Customer,53,F,3,Doctorate,Married,Less than $40K,Blue,33,6,2,1,2255,1647,608,0.848,4270,76,0.767,0.73,0.00010307,0.9999
714485508,Existing Customer,45,M,3,Doctorate,Single,$80K - $120K,Blue,36,6,2,4,9086,1254,7832,0.93,3906,81,0.8,0.138,0.0004903,0.99951
719267283,Existing Customer,35,F,2,Doctorate,Married,$40K - $60K,Blue,27,6,1,0,1953,1554,399,0.581,4598,71,0.651,0.796,2.94E-05,0.99997
714917583,Existing Customer,42,F,2,Doctorate,Unknown,Less than $40K,Silver,36,6,1,2,10074,1079,8995,0.813,3338,65,0.711,0.107,7.20E-05,0.99993
716989683,Existing Customer,56,M,2,Doctorate,Single,$80K - $120K,Blue,48,4,3,3,4480,2465,2015,0.772,3331,74,0.682,0.55,0.00043772,0.99956
710445183,Existing Customer,44,M,5,Doctorate,Single,$120K +,Blue,31,5,1,2,7567,2496,5071,0.709,4076,60,0.579,0.33,8.23E-05,0.99992
714575208,Existing Customer,49,M,5,Doctorate,Single,$40K - $60K,Blue,43,3,1,1,4951,2002,2949,0.684,4192,62,0.55,0.404,4.96E-05,0.99995
780199233,Existing Customer,33,M,2,Doctorate,Single,$120K +,Blue,23,5,1,1,14914,1102,13812,0.823,4478,87,0.673,0.074,4.81E-05,0.99995
779224758,Existing Customer,47,F,2,Doctorate,Single,Less than $40K,Blue,37,4,3,2,2168,1485,683,0.546,3828,86,0.72,0.685,0.00026028,0.99974
710267583,Existing Customer,45,F,3,Doctorate,Divorced,Unknown,Blue,33,6,3,2,12587,815,11772,0.576,3914,83,0.766,0.065,0.00027008,0.99973
787659483,Existing Customer,58,F,1,Doctorate,Married,Less than $40K,Blue,48,4,2,2,1438.3,801,637.3,0.595,4223,60,0.579,0.557,0.0001546,0.99985
719703483,Existing Customer,47,F,1,Doctorate,Divorced,Less than $40K,Blue,37,6,3,3,2707,1367,1340,0.794,4646,73,0.78,0.505,0.00041087,0.99959
716680983,Existing Customer,41,F,3,Doctorate,Married,Less than $40K,Blue,36,3,1,1,1956,1053,903,0.941,4924,70,0.795,0.538,4.99E-05,0.99995
806995683,Existing Customer,61,M,0,Doctorate,Single,$60K - $80K,Blue,56,4,1,3,4783,2517,2266,1.024,2870,50,1.174,0.526,0.00011504,0.99988
807600633,Existing Customer,44,F,2,Doctorate,Divorced,Unknown,Blue,39,6,4,1,9856,671,9185,0.662,5408,83,0.729,0.068,0.0001897,0.99981
789775308,Existing Customer,54,F,2,Doctorate,Divorced,Less than $40K,Blue,43,6,1,3,1438.3,1120,318.3,0.817,4880,77,0.75,0.779,0.00013405,0.99987
712967508,Existing Customer,47,M,3,Doctorate,Unknown,$60K - $80K,Blue,36,4,1,2,2572,1093,1479,0.615,5038,86,0.83,0.425,8.27E-05,0.99992
789859833,Existing Customer,41,M,4,Doctorate,Unknown,Less than $40K,Blue,31,6,2,1,2515,1767,748,0.665,4388,67,0.675,0.703,0.00010417,0.9999
717733158,Existing Customer,43,F,3,Doctorate,Married,Less than $40K,Blue,29,4,2,3,3186,2517,669,0.59,4197,84,0.909,0.79,0.00028744,0.99971
719749083,Existing Customer,63,M,0,Doctorate,Single,Less than $40K,Blue,54,5,2,0,7098,2224,4874,0.864,3465,59,0.788,0.313,5.21E-05,0.99995
708710283,Existing Customer,45,M,5,Doctorate,Married,$120K +,Silver,36,6,1,4,34516,2038,32478,1.007,4067,75,1.206,0.059,0.00021333,0.99979
708542283,Existing Customer,58,F,1,Doctorate,Married,Less than $40K,Blue,47,5,3,4,2495,2061,434,0.849,4399,70,0.707,0.826,0.00070078,0.9993
709873683,Existing Customer,60,M,0,Doctorate,Unknown,$40K - $60K,Silver,53,4,2,1,16541,1428,15113,0.846,4352,82,0.907,0.086,7.70E-05,0.99992
720057183,Existing Customer,49,F,4,Doctorate,Single,Less than $40K,Blue,42,5,1,4,7789,957,6832,0.724,3412,70,0.842,0.123,0.00023984,0.99976
713285058,Existing Customer,46,F,3,Doctorate,Single,Less than $40K,Blue,34,4,3,4,2258,1600,658,0.607,4275,76,0.551,0.709,0.00077466,0.99923
720014358,Existing Customer,38,F,1,Doctorate,Single,Less than $40K,Blue,26,5,2,4,1934,985,949,0.72,4019,78,0.857,0.509,0.00044353,0.99956
779135808,Existing Customer,56,F,2,Doctorate,Single,$40K - $60K,Blue,38,5,1,4,3609,1026,2583,0.67,4318,81,0.588,0.284,0.00022869,0.99977
717755058,Existing Customer,41,F,4,Doctorate,Single,Less than $40K,Blue,36,4,3,4,2687,1317,1370,0.58,4096,76,0.727,0.49,0.00078294,0.99922
712364283,Existing Customer,54,F,2,Doctorate,Married,$40K - $60K,Blue,43,5,3,2,2222,1398,824,0.785,3960,79,0.756,0.629,0.00026028,0.99974
720436008,Existing Customer,54,F,1,Doctorate,Unknown,Less than $40K,Blue,43,4,6,4,5267,0,5267,0.631,4196,81,0.588,0,0.00055326,0.99945
717212958,Existing Customer,55,M,2,Doctorate,Single,$80K - $120K,Blue,36,6,3,3,3046,2415,631,0.492,3153,57,0.583,0.793,0.00043772,0.99956
714103908,Existing Customer,54,F,3,Doctorate,Single,Less than $40K,Blue,36,4,2,2,2778,743,2035,0.812,4515,74,0.51,0.267,0.00017091,0.99983
823624158,Existing Customer,53,F,2,Doctorate,Single,Unknown,Blue,49,3,2,2,4500,0,4500,0.761,4579,78,0.814,0,0.00016471,0.99984
715204083,Existing Customer,47,F,4,Doctorate,Single,Less than $40K,Blue,36,3,2,2,2765,901,1864,0.898,4990,80,0.905,0.326,0.00017274,0.99983
711243108,Existing Customer,50,M,1,Doctorate,Married,$80K - $120K,Blue,36,5,3,3,18964,2207,16757,0.625,3835,78,0.625,0.116,0.00041087,0.99959
720031908,Existing Customer,55,M,2,Doctorate,Married,$60K - $80K,Blue,36,5,1,1,4370,0,4370,0.791,4326,74,0.721,0,4.81E-05,0.99995
708997833,Existing Customer,49,F,4,Doctorate,Single,$40K - $60K,Blue,39,5,3,1,3255,603,2652,0.617,4045,62,0.824,0.185,0.00016463,0.99984
768167358,Existing Customer,37,M,4,Doctorate,Single,$60K - $80K,Blue,31,6,3,0,1702,1018,684,0.645,4301,86,0.72,0.598,0.0001007,0.9999
714257958,Existing Customer,41,F,3,Doctorate,Single,Less than $40K,Blue,31,4,2,1,1738,0,1738,0.654,4220,68,0.889,0,0.00010307,0.9999
708837858,Existing Customer,44,F,4,Doctorate,Unknown,Less than $40K,Blue,34,5,2,2,2718,1718,1000,0.679,4423,68,0.619,0.632,0.00017274,0.99983
711379083,Existing Customer,60,F,0,Doctorate,Single,Less than $40K,Blue,42,5,3,3,2758,1429,1329,0.718,5124,74,0.644,0.518,0.00037564,0.99962
794866983,Existing Customer,51,F,1,Doctorate,Married,Unknown,Blue,45,6,2,1,7336,1031,6305,0.658,3812,67,0.675,0.141,9.32E-05,0.99991
720175008,Existing Customer,48,F,2,Doctorate,Married,$40K - $60K,Blue,34,3,1,4,5069,1843,3226,0.826,4055,66,0.692,0.364,0.00022869,0.99977
719613783,Existing Customer,51,F,1,Doctorate,Married,Less than $40K,Blue,42,3,2,2,1438.3,0,1438.3,0.872,4211,64,0.778,0,0.0001546,0.99985
719042208,Existing Customer,43,M,4,Doctorate,Unknown,$60K - $80K,Blue,33,4,3,4,2067,1250,817,0.891,4565,65,0.806,0.605,0.00078294,0.99922
769183908,Existing Customer,51,F,2,Doctorate,Single,Unknown,Blue,45,6,3,1,2109,683,1426,0.593,4321,58,0.812,0.324,0.00015697,0.99984
715893633,Existing Customer,47,F,4,Doctorate,Single,Less than $40K,Blue,36,4,3,2,2193,1084,1109,0.974,4755,81,0.761,0.494,0.00027297,0.99973
710803008,Existing Customer,40,F,3,Doctorate,Married,Less than $40K,Blue,30,6,3,2,3125,2041,1084,0.675,4372,68,0.659,0.653,0.00027008,0.99973
712987608,Existing Customer,51,F,2,Doctorate,Single,Less than $40K,Blue,40,3,3,3,1438.3,1153,285.3,0.866,4263,84,0.909,0.802,0.00043772,0.99956
708402333,Existing Customer,48,F,2,Doctorate,Divorced,Unknown,Blue,37,6,2,0,4549,1313,3236,0.777,4782,88,0.66,0.289,6.08E-05,0.99994
720281508,Existing Customer,44,F,2,Doctorate,Divorced,Less than $40K,Blue,34,3,1,2,2406,1491,915,0.606,4625,91,0.685,0.62,7.97E-05,0.99992
718384233,Existing Customer,52,M,5,Doctorate,Single,$40K - $60K,Silver,39,4,2,2,17835,868,16967,0.723,4258,58,0.657,0.049,0.00015365,0.99985
817892208,Existing Customer,35,F,2,Doctorate,Single,Less than $40K,Blue,30,5,1,1,1438.3,0,1438.3,1.126,4006,72,0.946,0,4.81E-05,0.99995
721396758,Existing Customer,35,F,4,Doctorate,Married,Less than $40K,Blue,36,3,1,3,1438.3,606,832.3,0.692,5062,80,0.818,0.421,0.00014059,0.99986
709165533,Existing Customer,47,M,3,Doctorate,Unknown,$120K +,Blue,41,6,2,2,6143,1151,4992,0.866,4330,72,0.895,0.187,0.00017091,0.99983
819979458,Existing Customer,35,F,3,Doctorate,Married,Less than $40K,Blue,30,5,2,2,3976,1789,2187,0.931,4419,75,0.829,0.45,0.00017091,0.99983
787475433,Existing Customer,36,F,2,Doctorate,Single,Unknown,Blue,23,5,2,3,6966,905,6061,0.755,4855,69,0.5,0.13,0.00027701,0.99972
715774833,Existing Customer,41,F,2,Doctorate,Unknown,Less than $40K,Blue,36,4,1,2,1801,940,861,0.594,3797,74,0.721,0.522,7.97E-05,0.99992
788997408,Existing Customer,65,F,2,Doctorate,Single,Less than $40K,Blue,53,6,3,2,2195,1917,278,0.535,4205,65,0.625,0.873,0.00026028,0.99974
710929233,Existing Customer,33,F,2,Doctorate,Single,Less than $40K,Blue,36,5,2,3,2800,1559,1241,0.598,4253,83,0.694,0.557,0.00027701,0.99972
710864358,Existing Customer,51,F,2,Doctorate,Married,Unknown,Blue,45,6,6,2,6501,0,6501,0.651,5074,81,0.688,0,0.00020547,0.99979
755247108,Existing Customer,50,F,2,Doctorate,Single,Less than $40K,Blue,43,4,1,0,3206,0,3206,0.631,4731,82,0.822,0,2.94E-05,0.99997
718471758,Existing Customer,49,M,4,Doctorate,Single,$60K - $80K,Silver,37,5,2,2,30976,2051,28925,0.684,3193,69,0.725,0.066,0.00015608,0.99984
714046608,Existing Customer,49,M,0,Doctorate,Married,$60K - $80K,Blue,39,5,6,3,19719,1395,18324,0.565,3572,73,0.738,0.071,0.00029654,0.9997
712942308,Existing Customer,42,M,3,Doctorate,Single,$60K - $80K,Blue,36,6,1,3,11535,1527,10008,0.664,3730,67,0.718,0.132,0.0001391,0.99986
711780108,Existing Customer,46,F,4,Doctorate,Divorced,Less than $40K,Blue,38,4,3,2,4120,1578,2542,0.379,4792,81,0.588,0.383,0.00027297,0.99973
713578608,Existing Customer,58,M,0,Doctorate,Single,Less than $40K,Blue,46,6,4,3,1438.3,0,1438.3,0.808,4082,82,0.822,0,0.00045394,0.99955
711131958,Existing Customer,50,F,3,Doctorate,Single,$40K - $60K,Blue,42,4,3,3,3743,881,2862,0.77,4621,71,0.821,0.235,0.0004542,0.99955
710310108,Existing Customer,46,F,1,Doctorate,Married,Less than $40K,Blue,29,3,3,2,2406,1705,701,0.624,4665,89,0.816,0.709,0.00024431,0.99976
721012983,Existing Customer,46,M,3,Doctorate,Married,$80K - $120K,Blue,38,6,1,2,12935,1417,11518,0.738,3528,61,0.743,0.11,8.27E-05,0.99992
714308283,Existing Customer,41,M,2,Doctorate,Married,$40K - $60K,Blue,32,5,3,3,6059,1171,4888,0.678,4119,70,0.667,0.193,0.00043772,0.99956
712569408,Existing Customer,56,F,4,Doctorate,Single,$40K - $60K,Blue,44,4,2,3,3455,1385,2070,0.773,4925,82,0.745,0.401,0.00029051,0.99971
710853033,Existing Customer,36,F,1,Doctorate,Unknown,Less than $40K,Blue,36,3,2,2,4943,1204,3739,0.417,4024,82,0.783,0.244,0.0001546,0.99985
716901858,Existing Customer,49,M,4,Doctorate,Married,$40K - $60K,Blue,39,5,1,2,1438.3,0,1438.3,0.562,3691,77,0.51,0,8.36E-05,0.99992
718689258,Existing Customer,39,F,2,Doctorate,Married,$40K - $60K,Blue,29,5,2,3,1693,1101,592,0.778,4203,87,0.851,0.65,0.00027701,0.99972
721321383,Existing Customer,50,F,3,Doctorate,Married,Less than $40K,Blue,41,3,3,2,2372,1148,1224,0.872,4418,80,0.818,0.484,0.00027008,0.99973
789487308,Existing Customer,48,M,2,Doctorate,Single,$60K - $80K,Blue,39,3,2,2,10033,0,10033,0.644,4106,78,0.902,0,0.00016471,0.99984
709365483,Existing Customer,45,F,2,Doctorate,Divorced,$40K - $60K,Blue,36,5,3,3,2788,1826,962,0.521,4437,67,0.595,0.655,0.00043772,0.99956
719556558,Existing Customer,46,M,2,Doctorate,Married,$120K +,Blue,34,6,3,1,3499,1759,1740,0.635,3972,67,0.558,0.503,0.00015697,0.99984
772457583,Existing Customer,47,F,2,Doctorate,Single,Less than $40K,Blue,37,3,0,1,4254,1204,3050,0.538,5385,93,0.691,0.283,1.78E-05,0.99998
714172158,Existing Customer,51,F,0,Doctorate,Single,$40K - $60K,Blue,36,3,2,1,2637,1009,1628,0.574,4525,83,0.729,0.383,8.52E-05,0.99991
709597983,Existing Customer,65,M,0,Doctorate,Divorced,Less than $40K,Blue,56,6,1,3,1573,653,920,0.71,3349,77,0.674,0.415,0.00011504,0.99988
715736283,Existing Customer,55,F,4,Doctorate,Single,Less than $40K,Blue,44,3,1,1,1912,0,1912,0.783,4666,98,0.719,0,5.04E-05,0.99995
711533058,Existing Customer,42,F,2,Doctorate,Single,$40K - $60K,Blue,29,6,2,3,3347,2240,1107,0.898,5533,85,0.735,0.669,0.00027701,0.99972
715571583,Existing Customer,57,F,2,Doctorate,Divorced,Less than $40K,Blue,47,5,1,2,2504,1915,589,0.897,4847,86,0.654,0.765,7.97E-05,0.99992
779577108,Existing Customer,49,F,1,Doctorate,Single,$40K - $60K,Blue,32,3,3,2,1438.3,0,1438.3,0.718,4052,65,0.757,0,0.00024431,0.99976
719815383,Existing Customer,49,F,4,Doctorate,Married,Unknown,Blue,39,4,4,1,2333,1414,919,0.632,5137,89,0.679,0.606,0.00019895,0.9998
717395733,Existing Customer,42,F,3,Doctorate,Married,$40K - $60K,Blue,36,4,4,3,4142,688,3454,0.717,4512,81,0.976,0.166,0.00054888,0.99945
710725383,Existing Customer,42,M,3,Doctorate,Divorced,$40K - $60K,Blue,36,3,2,1,2012,0,2012,0.31,3282,66,0.65,0,0.00010307,0.9999
793842558,Existing Customer,39,F,3,Doctorate,Married,Less than $40K,Blue,33,6,4,2,2001,1430,571,0.555,4509,69,0.683,0.715,0.00032639,0.99967
713818158,Existing Customer,50,M,1,Doctorate,Single,$80K - $120K,Blue,41,5,4,2,5068,991,4077,0.736,5173,64,0.6,0.196,0.00029525,0.9997
713993208,Existing Customer,37,F,3,Doctorate,Married,Less than $40K,Blue,36,3,5,2,1438.3,0,1438.3,0.861,4314,82,0.864,0,0.00030166,0.9997
721072908,Existing Customer,51,M,0,Doctorate,Single,$60K - $80K,Blue,36,6,2,3,3232,1346,1886,0.697,5102,69,0.643,0.416,0.00023771,0.99976
713301633,Existing Customer,57,F,3,Doctorate,Single,Unknown,Blue,36,5,1,1,1678,1162,516,0.722,4402,87,0.851,0.692,4.99E-05,0.99995
708768258,Existing Customer,51,F,4,Doctorate,Married,Less than $40K,Blue,43,6,1,2,2066,1077,989,0.715,4678,91,0.655,0.521,8.36E-05,0.99992
711264033,Existing Customer,47,M,3,Doctorate,Divorced,$40K - $60K,Blue,36,4,2,3,4786,1516,3270,0.94,4973,74,0.85,0.317,0.00028744,0.99971
789271533,Existing Customer,51,F,1,Doctorate,Single,Less than $40K,Blue,40,5,3,2,1438.3,908,530.3,0.615,4653,74,0.897,0.631,0.00024431,0.99976
720152058,Existing Customer,42,F,1,Doctorate,Single,Less than $40K,Blue,35,5,1,3,2725,2444,281,0.959,4965,85,0.809,0.897,0.00012583,0.99987
751607058,Existing Customer,45,M,2,Doctorate,Married,$120K +,Blue,38,4,3,3,1686,0,1686,0.812,4413,77,0.75,0,0.00043772,0.99956
713531808,Existing Customer,38,F,1,Doctorate,Married,Less than $40K,Blue,28,6,1,1,1438.3,0,1438.3,0.813,4475,74,0.644,0,4.51E-05,0.99995
715579233,Existing Customer,44,F,3,Doctorate,Single,$40K - $60K,Blue,40,4,1,3,3659,1356,2303,0.715,4861,74,0.762,0.371,0.0001391,0.99986
772243833,Existing Customer,54,F,0,Doctorate,Single,Less than $40K,Blue,43,4,1,3,3186,968,2218,0.696,4077,75,0.63,0.304,0.00011504,0.99988
716218908,Existing Customer,48,F,4,Doctorate,Single,Unknown,Blue,39,6,1,1,2845,919,1926,0.652,2635,43,1.263,0.323,5.04E-05,0.99995
714735033,Existing Customer,45,F,5,Doctorate,Married,Less than $40K,Blue,34,4,2,2,1438.3,491,947.3,0.708,4376,84,0.787,0.341,0.00017004,0.99983
712640583,Existing Customer,60,F,0,Doctorate,Married,Unknown,Blue,51,4,1,3,7508,2148,5360,0.89,4950,70,0.707,0.286,0.00011504,0.99988
708291633,Existing Customer,33,F,2,Doctorate,Unknown,Unknown,Blue,21,3,3,3,4651,2499,2152,0.766,5097,79,0.795,0.537,0.00043772,0.99956
719633508,Existing Customer,52,F,1,Doctorate,Married,Less than $40K,Blue,39,3,1,1,1663,0,1663,0.707,4875,86,0.654,0,4.51E-05,0.99995
778849908,Existing Customer,59,F,1,Doctorate,Married,Less than $40K,Blue,40,3,3,1,2687,2452,235,0.817,4697,81,0.761,0.913,0.00014734,0.99985
711900033,Existing Customer,57,F,0,Doctorate,Married,Unknown,Blue,46,5,2,1,4661,1734,2927,0.789,5242,81,1.382,0.372,8.52E-05,0.99991
715466133,Existing Customer,50,F,1,Doctorate,Married,Unknown,Blue,40,3,3,1,2492,1410,1082,0.835,4374,75,0.974,0.566,0.00014734,0.99985
779551533,Existing Customer,54,F,3,Doctorate,Single,Less than $40K,Blue,39,4,3,3,1764,0,1764,0.651,4857,92,0.804,0,0.0004542,0.99955
710219658,Existing Customer,48,F,3,Doctorate,Married,Unknown,Blue,44,4,3,3,2021,1186,835,0.616,4633,74,0.574,0.587,0.0004542,0.99955
715321983,Existing Customer,33,F,2,Doctorate,Married,$40K - $60K,Blue,36,4,2,1,2748,1867,881,0.816,4314,75,1.027,0.679,9.93E-05,0.9999
817337958,Existing Customer,48,F,5,Doctorate,Married,Less than $40K,Blue,33,2,1,3,5814,1176,4638,0.627,3796,74,1.056,0.202,0.0001384,0.99986
721525758,Existing Customer,45,M,5,Doctorate,Married,$80K - $120K,Blue,35,2,2,2,2226,1229,997,0.784,4928,77,0.638,0.552,0.00017004,0.99983
779608083,Existing Customer,55,M,2,Doctorate,Single,Less than $40K,Blue,44,2,2,2,3897,1247,2650,0.689,3681,62,0.632,0.32,0.00016471,0.99984
719898108,Existing Customer,57,F,2,Doctorate,Married,$40K - $60K,Blue,41,2,3,3,3667,809,2858,0.778,5322,79,0.975,0.221,0.00043772,0.99956
736893108,Existing Customer,33,F,2,Doctorate,Single,Less than $40K,Blue,26,2,3,2,1438.3,0,1438.3,0.613,4196,87,0.891,0,0.00026028,0.99974
715566408,Existing Customer,45,F,3,Doctorate,Married,Less than $40K,Blue,36,1,2,2,2143,1479,664,0.708,4404,77,0.75,0.69,0.00017091,0.99983
711093408,Existing Customer,46,F,2,Doctorate,Married,Less than $40K,Blue,33,2,3,1,2644,1517,1127,0.721,4815,83,0.804,0.574,0.00015697,0.99984
806415183,Existing Customer,51,F,0,Doctorate,Married,Unknown,Blue,46,1,3,3,13623,1432,12191,0.594,4534,83,0.886,0.105,0.00037564,0.99962
712620858,Existing Customer,34,F,4,Doctorate,Married,Unknown,Blue,36,1,2,2,7744,1804,5940,0.942,4572,60,0.935,0.233,0.00017274,0.99983
771220758,Existing Customer,40,F,3,Doctorate,Single,Unknown,Blue,27,1,1,2,2896,2100,796,0.728,4614,83,0.694,0.725,8.27E-05,0.99992
779034708,Existing Customer,60,F,0,Doctorate,Married,Unknown,Blue,41,1,3,1,10730,970,9760,0.645,4939,71,0.972,0.09,0.0001347,0.99987
713785608,Existing Customer,49,F,1,Doctorate,Single,Less than $40K,Blue,40,1,2,3,2960,0,2960,0.962,4918,63,0.75,0,0.00026001,0.99974
816613158,Existing Customer,48,F,1,Doctorate,Married,Less than $40K,Blue,43,2,3,1,2559,1514,1045,0.57,4117,69,0.643,0.592,0.00014734,0.99985
718825908,Existing Customer,60,F,1,Doctorate,Single,Unknown,Blue,47,1,1,1,3803,1448,2355,0.565,4575,78,0.592,0.381,4.51E-05,0.99995
720537633,Existing Customer,44,F,3,Doctorate,Married,Less than $40K,Blue,36,2,3,1,3047,2139,908,0.842,4961,85,0.635,0.702,0.00016289,0.99984
720589008,Existing Customer,47,F,3,Doctorate,Unknown,Unknown,Blue,38,1,3,2,4072,1594,2478,0.678,4317,83,0.886,0.391,0.00027008,0.99973
809844108,Existing Customer,48,M,2,Doctorate,Single,$60K - $80K,Blue,43,2,1,1,8086,0,8086,0.792,4775,78,0.66,0,4.81E-05,0.99995
708753633,Existing Customer,45,F,3,Doctorate,Married,$40K - $60K,Blue,32,2,1,1,1438.3,0,1438.3,0.712,4462,77,0.638,0,4.99E-05,0.99995
715522233,Existing Customer,45,F,3,Doctorate,Single,Less than $40K,Blue,27,1,6,3,2917,1523,1394,0.724,4878,92,0.804,0.522,0.00035857,0.99964
714943233,Existing Customer,49,M,2,Doctorate,Married,$40K - $60K,Blue,31,2,2,2,1915,1545,370,0.775,3911,80,0.778,0.807,0.00016471,0.99984
792098883,Existing Customer,37,M,2,Doctorate,Single,$120K +,Blue,31,2,1,3,2360,1204,1156,0.539,3696,82,0.822,0.51,0.00013405,0.99987
799242033,Existing Customer,45,M,4,Doctorate,Married,$80K - $120K,Blue,39,2,3,2,1438.3,1162,276.3,0.539,4598,86,0.623,0.808,0.00027297,0.99973
710371683,Existing Customer,51,M,4,Doctorate,Married,$60K - $80K,Blue,36,2,1,2,3451,2006,1445,0.555,4097,67,0.763,0.581,8.36E-05,0.99992
709087983,Existing Customer,35,F,3,Doctorate,Single,Less than $40K,Blue,27,2,2,3,1438.3,0,1438.3,0.62,5020,94,0.843,0,0.00028744,0.99971
720593583,Existing Customer,39,F,2,Doctorate,Divorced,Less than $40K,Blue,32,1,2,2,3554,747,2807,0.621,5152,90,0.765,0.21,0.00016471,0.99984
718590183,Existing Customer,58,F,3,Doctorate,Married,Less than $40K,Blue,47,1,3,3,1517,920,597,0.825,5067,69,0.865,0.606,0.0004542,0.99955
789296133,Existing Customer,35,F,3,Doctorate,Single,Unknown,Blue,24,1,1,3,12287,770,11517,0.612,4601,65,0.757,0.063,0.0001391,0.99986
715980258,Existing Customer,36,F,1,Doctorate,Single,Less than $40K,Blue,25,1,2,3,2835,2511,324,0.731,4811,77,0.925,0.886,0.00026001,0.99974
824915208,Existing Customer,44,F,3,Doctorate,Married,Unknown,Blue,40,2,1,1,7212,1008,6204,0.727,5169,82,0.745,0.14,4.99E-05,0.99995
719237058,Existing Customer,39,M,2,Doctorate,Single,$60K - $80K,Blue,36,2,2,1,1790,891,899,0.45,4498,96,0.574,0.498,9.93E-05,0.9999
788290383,Existing Customer,43,M,3,Doctorate,Single,$40K - $60K,Blue,35,2,6,3,4970,1588,3382,0.669,4436,83,0.804,0.32,0.00035857,0.99964
710518308,Existing Customer,54,F,2,Doctorate,Married,Less than $40K,Blue,35,1,4,2,1685,0,1685,0.457,4155,85,0.667,0,0.00031455,0.99969
714754533,Existing Customer,51,M,0,Doctorate,Single,$120K +,Platinum,44,3,2,3,34516,1925,32591,0.764,8012,87,0.582,0.056,0.00041292,0.99959
714713508,Existing Customer,49,M,2,Doctorate,Divorced,$80K - $120K,Blue,36,3,3,1,25178,1803,23375,0.767,7836,87,0.582,0.072,0.00015697,0.99984
713911233,Existing Customer,47,F,3,Doctorate,Single,$40K - $60K,Silver,39,3,2,1,18341,1060,17281,0.718,7584,85,0.7,0.058,9.31E-05,0.99991
719658858,Existing Customer,50,F,4,Doctorate,Married,Unknown,Silver,36,3,2,1,34516,2096,32420,0.666,7042,73,0.553,0.061,9.41E-05,0.99991
771719283,Existing Customer,39,F,4,Doctorate,Married,Less than $40K,Blue,27,2,1,1,8587,1324,7263,0.897,8854,92,0.643,0.154,5.04E-05,0.99995
713537733,Existing Customer,46,M,4,Doctorate,Unknown,$60K - $80K,Gold,36,2,2,3,34516,1426,33090,0.823,7582,95,0.696,0.041,0.00033469,0.99967
816615633,Existing Customer,47,F,2,Doctorate,Married,$40K - $60K,Blue,42,2,3,1,3256,2035,1221,0.655,7075,89,0.648,0.625,0.00015697,0.99984
787502883,Existing Customer,60,F,1,Doctorate,Single,Unknown,Silver,48,1,2,1,34516,1542,32974,0.603,7443,98,0.556,0.045,8.42E-05,0.99992
715037133,Existing Customer,40,M,3,Doctorate,Unknown,Less than $40K,Blue,36,1,1,3,4587,1771,2816,0.647,7479,83,0.694,0.386,0.0001391,0.99986
708153558,Existing Customer,46,M,5,Doctorate,Divorced,$120K +,Blue,31,1,2,2,34516,1802,32714,0.871,7936,101,0.485,0.052,0.00017004,0.99983
719623083,Existing Customer,33,F,1,Doctorate,Unknown,Less than $40K,Gold,24,2,3,2,15987,1992,13995,0.739,8302,81,0.841,0.125,0.00028147,0.99972
716704158,Existing Customer,50,M,1,Doctorate,Married,$120K +,Blue,39,2,3,2,34516,2517,31999,0.778,8087,86,0.509,0.073,0.00024431,0.99976
771752508,Existing Customer,40,F,3,Doctorate,Married,Less than $40K,Blue,29,1,1,1,4660,1844,2816,1.018,8571,84,0.647,0.396,4.99E-05,0.99995
713460258,Existing Customer,45,F,0,Doctorate,Married,$40K - $60K,Silver,36,1,1,3,19107,933,18174,0.88,8987,89,0.561,0.049,0.00010394,0.9999
716762733,Existing Customer,50,F,2,Doctorate,Single,Less than $40K,Blue,40,2,1,1,3449,1634,1815,0.776,8300,94,0.469,0.474,4.81E-05,0.99995
709619433,Existing Customer,52,M,2,Doctorate,Married,$120K +,Blue,44,1,2,2,34516,1382,33134,0.856,8604,108,0.714,0.04,0.00016471,0.99984
720735408,Existing Customer,44,F,4,Doctorate,Married,$40K - $60K,Blue,30,1,3,1,6329,1643,4686,0.706,8514,109,0.73,0.26,0.00016463,0.99984
709530408,Existing Customer,45,M,4,Doctorate,Single,$120K +,Gold,36,1,3,1,34516,1411,33105,0.701,8007,96,0.778,0.041,0.00018967,0.99981
720086358,Existing Customer,58,M,2,Doctorate,Married,$120K +,Blue,48,2,3,1,12648,1604,11044,0.719,14465,125,0.712,0.127,0.00015697,0.99984
779349783,Existing Customer,46,M,3,Doctorate,Married,$60K - $80K,Blue,31,2,2,2,21161,1198,19963,0.783,13119,104,0.625,0.057,0.00017091,0.99983
709210833,Existing Customer,48,F,2,Doctorate,Married,$40K - $60K,Blue,36,1,2,2,9074,1648,7426,0.727,14084,110,0.803,0.182,0.00016471,0.99984
717565233,Existing Customer,51,M,3,Doctorate,Single,$80K - $120K,Blue,38,2,3,2,31346,1318,30028,0.862,13303,92,0.804,0.042,0.00027008,0.99973
